formula,formation_energy,e_hull,density,volume,nsites,stability
NaN3,-0.1669623215625,0.0,1.921670516506478,56.17582560462735,4,1
NaP15,-0.096047332790178,0.0,2.2516161792900222,719.1923251194828,32,1
NaP7,-0.190906175572916,0.0,2.091801571441959,1522.926106728392,64,1
NaS,-1.00427061140625,0.0,2.094029042503947,174.63099763463234,8,1
NaS2,-0.705851476458332,0.0,2.162325110475751,535.223051008419,24,1
NaSe2,-0.6857838314583321,0.0,3.775833329419609,636.4851691485202,24,1
NaSi,-0.069361268125,0.0,1.7786768064981051,381.4632525333722,16,1
Nb2O5,-3.034205274693879,0.0,4.300420662212256,1436.934978242596,98,1
NbBr5,-1.318179669791667,0.0,4.08870142885932,1599.9079524719216,48,1
NbCl4,-1.412415387999999,0.0,2.944121327402491,264.77104459749734,10,1
NbCl5,-1.370875040972222,0.0,2.599826445139612,1035.3694155376024,36,1
Nd2O3,-3.781547341499998,0.0,6.487107728262266,689.0489404160858,40,1
NdBr3,-2.310550521874999,0.0,5.090151941172257,250.5114283997206,8,1
NdO2,-3.159657924166664,0.0,6.708597366830175,87.24766669582291,6,1
NiO,-1.218085299999999,0.0,6.762154477618838,18.34183362776642,2,1
O2,0.0,0.0,1.974484493998944,107.6438082346079,8,1
OF2,-0.496055719166667,0.0,2.19628815325912,163.29880947970207,12,1
P,0.0,0.0,2.232614319007421,1935.1232668474008,84,1
P2Pt,-0.789592848650793,0.0,9.109869824238285,187.4059213509884,12,1
P2S5,-0.215660227502126,0.0,1.921438561880109,768.3664039148517,28,1
P2S7,-0.174099205071096,0.0,1.997026671381243,952.5813284124192,36,1
P3N5,-0.489872645959822,0.0,2.763378388306106,195.8420094674841,16,1
P3Ru,-0.591826474732142,0.0,5.276158455643308,244.2156441593808,16,1
P4Os,-0.461389905047618,0.0,6.680598971005209,234.23808984740512,15,1
P4Ru,-0.514703536714284,0.0,4.800200227408077,233.4672928999384,15,1
P4S3,-0.15439880469175,0.0,1.942425809305307,1505.202911217807,56,1
P4S7,-0.221087734690204,0.0,2.033362539496993,1137.9158459348423,44,1
P4S9,-0.218669315939789,0.0,1.927714130506903,1421.2464868262073,52,1
PBr3,-0.7874999842857141,0.0,3.219462432132015,558.4588011803313,16,1
PBr5,-0.7813882074404751,0.0,3.370361053255473,848.3977810485536,24,1
PBr7,-0.720567094330356,0.0,3.511166888722397,1116.6876060858342,32,1
PCl5,-0.650811190079366,0.0,2.194878120865734,472.63025157637736,18,1
PI2,-0.313406983214285,0.0,3.904236009133053,242.2460123090321,6,1
PI3,-0.341758141160712,0.0,3.905252359286758,350.1042029708565,8,1
PSe,-0.090475402269344,0.0,3.169265900767657,921.5979334272434,32,1
PaBr5,-1.884624831249997,0.0,4.542506494797352,922.013142843995,24,1
PaCl5,-2.01935245125,0.0,3.523176061933344,384.87975068444695,12,1
Pb3O4,-1.44698115428571,0.0,8.662164587521179,525.7169093310843,28,1
PbCl2,-1.308738062500002,0.0,5.772894416406985,319.9822095088894,12,1
PbF4,-1.990905017999998,0.0,6.486087829728194,72.5019564660598,5,1
PbI2,-0.9218665316666632,0.0,5.697440278090774,268.7253638919844,6,1
PbO,-1.469972337031249,0.0,8.81022542720316,84.13662656060738,4,1
PdCl2,-0.5866676483333321,0.0,3.975667931550937,444.3883477094757,18,1
Pm2O3,-3.836100897500001,0.0,6.727381849100269,667.4325651552468,40,1
Pr2O3,-3.729270369416666,0.0,6.169147440454104,710.2027717486561,40,1
PrBr3,-2.306216135416666,0.0,5.105600024557783,247.5845327877448,8,1
PtCl2,-0.475064009999998,0.0,5.766771747723599,459.5501320120263,18,1
PtF4,-1.375093648,0.0,7.128942063800023,126.2838053968214,10,1
PtI2,-0.415801788333337,0.0,7.190972117054134,414.6333772164832,12,1
PtS2,-0.440054991874996,0.0,7.051273539602691,61.04357903464705,3,1
Rb2O2,-1.23299356125,0.0,3.805924364992925,88.54103940072844,4,1
Rb2S,-1.160750764166667,0.0,2.866265052449509,117.60616016832168,3,1
Rb2S3,-1.086621892499998,0.0,2.893271352854191,306.6292394225025,10,1
Rb2S5,-0.955290041071428,0.0,2.621350498819616,839.3706492482418,28,1
Rb2Se,-1.207288049114582,0.0,3.172724428981697,130.79024531122957,3,1
Rb2Te,-1.137773643888888,0.0,3.158986458882483,156.9269235634012,3,1
Rb3As11,-0.267541365000003,0.0,3.770495795963541,1903.495604460162,56,1
Rb3As7,-0.356747705812501,0.0,3.538634361845165,5862.779529256382,160,1
Rb3P11,-0.317348992397957,0.0,2.334409870754321,1698.986001005808,56,1
RbGe,-0.191718121093749,0.0,3.642309487163144,2306.617201504555,64,1
RbH,-0.235469759374999,0.0,2.6483681718257923,54.22068808663736,2,1
RbI,-1.69585045125,0.0,3.506111301341046,100.58221792977244,2,1
RbI3,-1.074112831874999,0.0,4.231923268152993,731.6882299311791,16,1
RbS,-1.15946500333333,0.0,2.796485592496512,418.7423096987641,12,1
RbSi,-0.005613324374999,0.0,2.684472685563524,2247.7077668818056,64,1
Re2O7,-2.025868364583333,0.0,5.837607744971917,1102.3438809662773,72,1
ReF7,-2.104480786562499,0.0,4.945622662431141,214.34596578387672,16,1
ReS2,-0.902182740833333,0.0,7.113031380529443,467.5299135649283,24,1
ReSe2,-0.463165817708329,0.0,8.62376120443585,265.0520179422062,12,1
RhBr3,-0.8457965725000001,0.0,5.239712257895749,217.1606819796268,8,1
RhCl3,-0.784634455624997,0.0,3.788441960880535,183.4484366347528,8,1
RuO4,-1.181973681749999,0.0,3.612849510630859,606.9473917988681,40,1
S,0.0,0.0,1.9196195297959864,887.5956414230244,32,1
SBr,-0.311568478749999,0.0,2.937924414810992,253.14320247425,8,1
SCl,-0.170923770781249,0.0,1.926611715763964,465.5479909369948,16,1
SO2,-1.521880410833333,0.0,2.037555773121775,104.41966208548168,6,1
Sb2F7,-2.679369363611093,0.0,4.6332569565269,539.7564731513775,36,1
Sb2O3,-1.751737501999998,0.0,5.832523086050206,331.9848734985325,20,1
Sb2S3,-0.287243025187498,0.0,4.375422722175947,515.7079119701428,20,1
Sb7F29,-2.644929547430555,0.0,3.8966507127328462,2391.993493707019,144,1
SbBr3,-1.008689353124999,0.0,4.138990220460299,580.0819480218846,16,1
SbCl3,-0.94430403125,0.0,3.065501346665006,494.275445999496,16,1
SbCl5,-0.7330447383333331,0.0,2.813941454748994,1411.6646060338362,48,1
SbF4,-2.658436449250035,0.0,4.292000238764191,1224.1475539535031,80,1
SbI3,-0.643452289999999,0.0,4.741073521538678,351.97797437316626,8,1
SbO2,-1.839006646249989,0.0,6.645553853260452,153.68018971557615,12,1
Sc2O3,-3.968732640749999,0.0,3.818904932303188,479.7291089194625,40,1
Sc2S3,-2.171633972687499,0.0,2.883972633977312,428.62771743663023,20,1
ScCl3,-2.343001440624999,0.0,2.322312633108773,216.39147042729127,8,1
Se,0.0,0.0,3.929868468906878,2135.296539085758,64,1
Se2O5,-1.022062649955356,0.0,3.606510002362265,438.1748259114776,28,1
SeBr4,-0.6701583147187501,0.0,3.351731375743245,3159.4466014742425,80,1
SeCl4,-0.349825507562499,0.0,2.554551721791184,1148.0700200639965,40,1
SeO2,-1.154143574114583,0.0,4.137816735565543,356.22925606998524,24,1
Si7Tc4,-0.553621656590911,0.0,6.574545046632411,594.6515215027969,44,1
SiAs,-0.119684392083333,0.0,3.55907857134658,288.35662420758007,12,1
SiB3,-0.0441499209375,0.0,2.468922187401574,325.62657183715186,32,1
SiC,-0.305946444868422,0.0,3.227670169340689,391.9374525744493,38,1
SiI3,-0.656745092499998,0.0,3.774429609972908,359.69755994118,8,1
SiI4,-0.6804652657499981,0.0,3.850226271145877,1848.3202371953128,40,1
SiP,-0.169962202321427,0.0,2.259448359192474,520.8539229316051,24,1
SiP2,-0.142390731567459,0.0,2.27561472762978,525.5840606792137,24,1
SiS2,-0.7497998852083321,0.0,1.955009195063587,156.65137604743768,6,1
Sm2O3,-3.86195246725,0.0,7.079480081162786,654.3533566824561,40,1
SmBr3,-2.2959937075,0.0,5.288853386794035,244.9414825542865,8,1
Sn3F8,-2.537928646818182,0.0,4.9635349557834445,339.9788703162375,22,1
SnBr2,-1.173346578333331,0.0,4.652505947406003,397.626590899177,12,1
SnBr4,-1.117422941499999,0.0,3.67899472345487,791.3655785001996,20,1
SnCl2,-1.055039141666666,0.0,3.783777170456363,665.7152606361321,24,1
SnCl4,-1.025306462999999,0.0,2.601814489829774,665.0850172443597,20,1
